----------Bisection----------
Solution = -0.9273310032865456, times = 16, err=0.0000000000
Solution = 1.4805537683622856, times = 56, err=0.0000000000
Solution = -0.7055260126686682, times = 46, err=0.0000000001
Solution = -0.7055260126686683, times = 20, err=0.0000000000
Solution = 0.9522739593167012, times = 21, err=0.0000000002
Solution = 0.9522739593167013, times = 5, err=0.0000000001
Solution = 0.9522739593167013, times = 20, err=0.0000000000
Solution = 0.9522739593167013, times = 18, err=0.0000000019
Solution = -1.2163824229239009, times = 27, err=0.0000000000
Solution = 0.9522739593167013, times = 12, err=0.0000000000
Solution = 1.4805537683622856, times = 39, err=0.0000000000
Solution = 1.3145052223491327, times = 9, err=0.0000000000
Solution = 0.9522739593167013, times = 54, err=0.0000000000
Solution = 1.4805537683622856, times = 5, err=0.0000000001
Solution = 0.9522739593167012, times = 6, err=0.0000000001
Solution = 0.9522739593167012, times = 4, err=0.0000000052
Solution = 0.9522739593167013, times = 5, err=0.0000000000
Solution = 0.9522739593167012, times = 5, err=0.0000000000
Solution = 0.9522739593167013, times = 4, err=0.0000000000
Solution = 0.9522739593167012, times = 4, err=0.0000000005
Solution = 0.9522739593167013, times = 5, err=0.0000000000
Solution = 0.9522739593167012, times = 6, err=0.0000000000
Solution = 0.9522739593167013, times = 6, err=0.0000000000
Solution = -1.2163824229239009, times = 27, err=0.0000000001
Solution = 0.9522739593167012, times = 20, err=0.0000000000
Solution = -1.2163824229239009, times = 7, err=0.0000000000
Solution = 1.3145052223491327, times = 11, err=0.0000000005
Solution = 1.4805537683622856, times = 5, err=0.0000000001
Solution = 1.3145052223491327, times = 5, err=0.0000000073
Solution = 1.3145052223491327, times = 4, err=0.0000000005
Solution = 1.3145052223491327, times = 4, err=0.0000000000
Solution = 1.3145052223491327, times = 3, err=0.0000000061
Solution = 1.3145052223491327, times = 5, err=0.0000000000
Solution = -1.2163824229239009, times = 29, err=0.0000000018
Solution = 1.4805537683622856, times = 6, err=0.0000000016
Solution = 1.4805537683622856, times = 5, err=0.0000000000
Solution = 1.4805537683622856, times = 3, err=0.0000000000
Solution = 1.4805537683622856, times = 4, err=0.0000000000
Solution = 1.4805537683622858, times = 4, err=0.0000000084
Solution = 1.4805537683622856, times = 5, err=0.0000000005
Solution = 1.4805537683622856, times = 6, err=0.0000000019
Solution = 1.3145052223491327, times = 6, err=0.0000000000
Solution = 1.3145052223491327, times = 5, err=0.0000000000
Solution = 1.4805537683622856, times = 22, err=0.0000000000
Solution = 0.9522739593167012, times = 7, err=0.0000000000
Solution = -0.9273310032865456, times = 39, err=0.0000000000
Solution = -0.7055260126686682, times = 65, err=0.0000000016
Solution = -0.9273310032865456, times = 10, err=0.0000000007
Solution = 0.9522739593167012, times = 14, err=0.0000000009
Solution = -0.7055260126686683, times = 31, err=0.0000000000
Solution = 1.314505222349133, times = 23, err=0.0000000000
----------FixedPointMethod----------
